# 손질 개념 — 통계로는 잘 잡히지 않는 흔한 낱말들.
# MUSE 는 음차와 굴절형이 섞여 있어 '오다·가다' 같은 기본 동사를
# 자주 놓친다. 그런데 문장의 서술어가 바로 그 낱말들이라, 빠지면
# 다른 말로 옮길 때 문장이 통째로 무너진다.
# 형식: 영어 <TAB> 품사 <TAB> 한국어 <TAB> 품사
come	VB	오	VV
go	VB	가	VV
sing	VB	부르	VV
touch	VB	만지	VV
see	VB	보	VV
hear	VB	듣	VV
walk	VB	걷	VV
run	VB	달리	VV
sleep	VB	자	VV
eat	VB	먹	VV
drink	VB	마시	VV
live	VB	살	VV
die	VB	죽	VV
give	VB	주	VV
take	VB	잡	VV
make	VB	만들	VV
know	VB	알	VV
want	VB	원하	VV
say	VB	말하	VV
feel	VB	느끼	VV
laugh	VB	웃	VV
cry	VB	울	VV
wait	VB	기다리	VV
find	VB	찾	VV
open	VB	열	VV
close	VB	닫	VV
write	VB	쓰	VV
read	VB	읽	VV
sit	VB	앉	VV
stand	VB	서	VV
fall	VB	떨어지	VV
fly	VB	날	VV
begin	VB	시작하	VV
end	VB	끝나	VV
forget	VB	잊	VV
believe	VB	믿	VV
dark	JJ	어둡	VA
bright	JJ	밝	VA
beautiful	JJ	아름답	VA
sad	JJ	슬프	VA
happy	JJ	기쁘	VA
cold	JJ	춥	VA
hot	JJ	덥	VA
big	JJ	크	VA
small	JJ	작	VA
long	JJ	길	VA
short	JJ	짧	VA
new	JJ	새롭	VA
old	JJ	늙	VA
strong	JJ	강하	VA
weak	JJ	약하	VA
warm	JJ	따뜻하	VA
quiet	JJ	조용하	VA
deep	JJ	깊	VA
high	JJ	높	VA
low	JJ	낮	VA
fast	JJ	빠르	VA
slow	JJ	느리	VA
night	NN	밤	NNG
day	NN	낮	NNG
morning	NN	아침	NNG
sky	NN	하늘	NNG
sea	NN	바다	NNG
mountain	NN	산	NNG
river	NN	강	NNG
tree	NN	나무	NNG
flower	NN	꽃	NNG
wind	NN	바람	NNG
rain	NN	비	NNG
snow	NN	눈	NNG
star	NN	별	NNG
moon	NN	달	NNG
sun	NN	해	NNG
fire	NN	불	NNG
water	NN	물	NNG
song	NN	노래	NNG
voice	NN	목소리	NNG
heart	NN	마음	NNG
hand	NN	손	NNG
eye	NN	눈	NNG
love	NN	사랑	NNG
death	NN	죽음	NNG
life	NN	삶	NNG
time	NN	시간	NNG
world	NN	세상	NNG
child	NN	아이	NNG
friend	NN	친구	NNG
house	NN	집	NNG
road	NN	길	NNG
spring	NN	봄	NNG
summer	NN	여름	NNG
autumn	NN	가을	NNG
winter	NN	겨울	NNG
slowly	RB	천천히	MAG
quietly	RB	조용히	MAG
again	RB	다시	MAG
together	RB	함께	MAG
# — 2차 보강 —
i	PRP	나	NP
you	PRP	너	NP
where	WP	어디	NP
become	VB	되	VV
hold	VB	잡	VV
flow	VB	흐르	VV
burn	VB	타	VV
shake	VB	흔들	VV
pass	VB	지나	VV
fall	VB	내리	VV
tremble	VB	떨	VV
shine	VB	빛나	VV
pile	VB	쌓	VV
sadness	NN	슬픔	NNG
mother	NN	어머니	NNG
father	NN	아버지	NNG
bird	NN	새	NNG
rice	NN	밥	NNG
man	NN	남자	NNG
woman	NN	여자	NNG
garden	NN	정원	NNG
sky	NN	하늘	NNG
door	NN	문	NNG
window	NN	창	NNG
book	NN	책	NNG
name	NN	이름	NNG
body	NN	몸	NNG
face	NN	얼굴	NNG
blue	JJ	푸르	VA
white	JJ	하얗	VA
black	JJ	검	VA
red	JJ	붉	VA
green	JJ	푸르르	VA
hard	JJ	힘들	VA
easy	JJ	쉽	VA
young	JJ	젊	VA
good	JJ	좋	VA
bad	JJ	나쁘	VA
very	RB	매우	MAG
gently	RB	부드럽	VA
brightly	RB	밝	VA
softly	RB	조용하	VA
already	RB	이미	MAG
still	RB	아직	MAG
always	RB	항상	MAG
never	RB	결코	MAG
here	RB	여기	NP
today	NN	오늘	NNG
tomorrow	NN	내일	NNG
yesterday	NN	어제	NNG
