# 손으로 바로잡은 극성. 통계 전파가 흔들리는 고빈도 형태소를 눌러 둔다.
# 형식: 표제어 <TAB> 품사 <TAB> 극성(-2..2)
# 구조적으로 자주 쓰여 KNU 부정 편향을 뒤집어쓴 것들을 중립으로 되돌린다.
하	VV	0
하	VX	0
하	XSV	0
되	VV	0
되	XSV	0
지	VX	0
있	VV	0
있	VX	0
있	VA	0
나	VV	0
속	NNG	0
조금	MAG	0
사람	NNG	0
일	NNG	0
모양	NNG	0
것	NNB	0
거	NNB	0
수	NNB	0
때	NNG	0
말	NNG	0
자꾸	MAG	0
몹시	MAG	0
매우	MAG	0
너무	MAG	0
아주	MAG	0
정말	MAG	0
많	VA	0
크	VA	0
작	VA	0
같	VA	0
보	VV	0
가	VV	0
오	VV	0
주	VV	0
받	VV	0
# 감정이 분명한데 통계가 놓칠 수 있는 것들을 못박는다.
사랑	NNG	2
기쁨	NNG	2
행복	NNG	2
희망	NNG	2
평화	NNG	2
슬픔	NNG	-2
절망	NNG	-2
고통	NNG	-2
죽음	NNG	-2
공포	NNG	-2
분노	NNG	-2
외로움	NNG	-2
그리움	NNG	-1
아름답	VA	2
기쁘	VA	2
즐겁	VA	2
따뜻하	VA	1
밝	VA	1
슬프	VA	-2
아프	VA	-2
무섭	VA	-2
어둡	VA	-1
차갑	VA	-1
쓸쓸하	VA	-1
없	VA	-1
