# 손질 근사 — 개념이 되지 못한 낱말을 가장 가까운 개념에 손으로 잇는다.
# 같은 말로는 정확한 낱말이 그대로 돌아오고, 다른 말로 읽을 때만 쓰인다.
# 형식: 말 <TAB> 꼴 <TAB> 품사 <TAB> 개념쪽말 <TAB> 개념쪽꼴 <TAB> 개념쪽품사
ko	어루만지	VV	en	touch	VB
ko	쓰다듬	VV	en	touch	VB
ko	사랑하	VV	ko	사랑	NNG
ko	노래하	VV	ko	노래	NNG
ko	미워하	VV	en	hate	NN
ko	기뻐하	VV	en	happy	JJ
ko	슬퍼하	VV	en	sad	JJ
ko	두려워하	VV	en	fear	NN
ko	흔들리	VV	en	shake	VB
ko	흘러가	VV	en	flow	VB
ko	타오르	VV	en	burn	VB
ko	빛나	VV	en	shine	VB
ko	떨리	VV	en	tremble	VB
ko	내리	VV	en	fall	VB
ko	쏟아지	VV	en	fall	VB
ko	험하	VA	en	hard	JJ
ko	푸르르	VA	en	blue	JJ
ko	고요하	VA	en	quiet	JJ
ko	커다랗	VA	en	big	JJ
ko	조그맣	VA	en	small	JJ
ko	밤하늘	NNG	ko	하늘	NNG
ko	새	NNG	en	bird	NN
ko	매우	MAG	en	very	RB
ko	아주	MAG	en	very	RB
ko	무척	MAG	en	very	RB
ko	정말	MAG	en	really	RB
ko	어머	IC	ko	아	IC
en	caress	VB	en	touch	VB
en	stroke	VB	en	touch	VB
en	gaze	VB	en	see	VB
en	weep	VB	en	cry	VB
en	giggle	VB	en	laugh	VB
en	whisper	VB	en	say	VB
en	stronger	JJ	en	strong	JJ
en	weaker	JJ	en	weak	JJ
en	deeper	JJ	en	deep	JJ
en	darker	JJ	en	dark	JJ
en	gently	RB	en	gently	RB
en	softly	RB	en	quiet	JJ
en	brightly	RB	en	bright	JJ
en	man	NN	en	man	NN
en	garden	NN	en	garden	NN
ko	았	EP	en	«past»	GRAM
ko	였	EP	en	«past»	GRAM
en	love	VB	en	love	NN
en	hope	VB	en	hope	NN
en	fear	VB	en	fear	NN
en	dream	VB	en	dream	NN
en	her	PRP	en	she	PRP
en	him	PRP	en	he	PRP
en	me	PRP	en	i	PRP
en	us	PRP	en	we	PRP
en	them	PRP	en	they	PRP
en	snow	NN	ko	눈	NNG
en	village	NN	ko	도시	NNG
en	dark	NN	ko	어둡	VA
en	sound	NN	ko	소리	NNG
en	small	NN	ko	작	VA
en	sleeping	JJ	ko	자	VV
en	rise	VB	ko	오르	VV
en	together	JJ	ko	함께	MAG
ko	강물	NNG	ko	강	NNG
ko	들리	VV	ko	듣	VV
ko	뛰놀	VV	ko	놀	VV
ko	밀려오	VV	ko	오	VV
ko	밤거리	NNG	ko	거리	NNG
ko	쓸쓸	XR	ko	외롭	VA
ko	잎	NNG	ko	나뭇잎	NNG
ko	멀	VA	en	long	JJ
ko	꿈속	NNG	en	dream	NN
ko	쌓이	VV	ko	쌓	VV
